plate mjd id MJD SEEING50 RMSOFF50 AIRMASS ALT meanAlt designAlt meanHa haMin
6133 56246 b1-00150930 56246 1.2726 0.0123515 1.1414 62.924 61.176 62.956 27.3606 25.0000
6135 56192 b1-00147794 56192 1.366 0.019205 1.04648 73.502 72.858 71.452 6.2069 10.0000
6135 56192 b1-00147795 56192 1.3722 0.0174735 1.05564 72.318 71.312 71.452 10.3139 10.0000
6135 56192 b1-00147796 56192 1.416 0.0162374 1.06959 70.487 69.216 71.452 14.4168 10.0000
6135 56192 b1-00147797 56192 1.421 0.0157241 1.08862 68.203 66.718 71.452 18.5197 10.0000
6136 56206 b1-00148310 56205 1.6227 0.0190507 1.17676 56.538 58.188 58.347 -30.2064 -30.0000
6136 56206 b1-00148335 56206 1.4091 0.01592 1.13589 60.125 61.686 58.347 -25.5608 -30.0000
6136 56206 b1-00148336 56206 1.3655 0.0148311 1.10692 63.14 64.609 58.347 -21.4579 -30.0000
6136 56206 b1-00148337 56206 1.283 0.014494 1.08392 65.952 67.305 58.347 -17.3592 -30.0000
6137 56270 b1-00152079 56270 1.2584 0.0128504 1.04404 73.044 73.297 65.460 -2.1277 20.0000
6137 56270 b1-00152080 56270 1.1754 0.0122453 1.04396 73.504 73.313 65.460 1.9752 20.0000
6137 56270 b1-00152081 56270 1.2092 0.0115043 1.04841 73.141 72.520 65.460 6.0823 20.0000
6137 56270 b1-00152082 56270 1.2168 0.0112077 1.05749 71.994 71.022 65.460 10.1851 20.0000
6139 56192 b1-00147802 56192 1.5378 0.0253527 1.07958 69.206 67.863 58.094 15.8999 30.0000
6139 56192 b1-00147803 56192 1.551 0.02247 1.10077 66.806 65.292 58.094 20.0027 30.0000
6139 56192 b1-00147804 56192 1.5549 0.0227311 1.12777 64.088 62.461 58.094 24.1098 30.0000
6140 56189 b1-00147548 56189 1.5358 0.0186738 1.21919 53.473 55.106 57.516 -33.1445 -30.0000
6140 56189 b1-00147549 56189 1.543 0.0152727 1.17614 56.658 58.237 57.516 -29.0416 -30.0000
6140 56189 b1-00147550 56189 1.4679 0.0143042 1.14074 59.709 61.237 57.516 -24.9387 -30.0000
6140 56189 b1-00147551 56189 1.5136 0.0131806 1.11206 62.646 64.057 57.516 -20.8359 -30.0000
6140 56189 b1-00147552 56189 1.5327 0.0136785 1.08936 65.367 66.631 57.516 -16.7288 -30.0000
6141 56210 b1-00148590 56210 1.1397 0.0152382 1.07251 67.758 68.810 72.070 -12.4293 0.0000
6141 56210 b1-00148591 56210 1.1079 0.0141197 1.06059 69.772 70.538 72.070 -8.3265 0.0000
6141 56210 b1-00148592 56210 1.1174 0.0145413 1.05348 71.237 71.663 72.070 -4.2236 0.0000
6141 56210 b1-00148593 56210 1.2267 0.0147256 1.05104 72.043 72.069 72.070 -0.1123 0.0000
6141 56210 b1-00148594 56210 1.3044 0.0139614 1.05321 72.097 71.707 72.070 3.9863 0.0000
6141 56210 b1-00148595 56210 1.1972 0.0132712 1.06004 71.39 70.621 72.070 8.0892 0.0000
6142 56219 b1-00149347 56219 1.2628 0.0164161 1.13691 60.099 61.591 67.331 -24.0992 -15.0000
6142 56219 b1-00149348 56219 1.2703 0.0148492 1.10934 62.975 64.347 67.331 -19.9963 -15.0000
6142 56219 b1-00149349 56219 1.3039 0.0147434 1.0877 65.616 66.834 67.331 -15.8935 -15.0000
6146 56265 b1-00151659 56264 1.2971 0.0192539 1.18556 59.161 57.507 56.293 28.3384 30.0000
6146 56265 b1-00151660 56264 1.3848 0.0226893 1.2288 56.203 54.466 56.293 32.4455 30.0000
6146 56265 b1-00151661 56264 1.467 0.0253659 1.28107 53.119 51.312 56.293 36.5483 30.0000
6146 56265 b1-00151711 56265 1.3464 0.0177508 1.14932 62.023 60.465 56.293 24.1265 30.0000
6146 56265 b1-00151712 56265 1.3962 0.0168751 1.18456 59.255 57.583 56.293 28.2336 30.0000
6147 56239 b1-00150309 56239 1.4041 0.01838 1.18257 56.2 57.737 68.158 -27.8729 -10.0000
6147 56239 b1-00150310 56239 1.4411 0.0180122 1.14789 59.159 60.593 68.158 -23.7700 -10.0000
6147 56239 b1-00150311 56239 1.3967 0.0167793 1.11998 61.918 63.235 68.158 -19.6671 -10.0000
6147 56239 b1-00150312 56239 1.2902 0.0162974 1.09813 64.465 65.593 68.158 -15.5601 -10.0000
6147 56239 b1-00150313 56239 1.2357 0.0168775 1.08185 66.654 67.568 68.158 -11.4572 -10.0000
6148 56209 b1-00148534 56209 1.3998 0.0242259 1.09659 66.952 65.771 62.908 14.9653 20.0000
6148 56209 b1-00148535 56209 1.4448 0.0211026 1.11772 64.839 63.467 62.908 19.0806 20.0000
6148 56209 b1-00148536 56209 1.4273 0.0198501 1.14479 62.403 60.870 62.908 23.1835 20.0000
6148 56209 b1-00148537 56209 1.4203 0.0192763 1.17859 59.677 58.045 62.908 27.2906 20.0000
6149 56194 b1-00147921 56194 2.0189 0.0237848 1.12191 64.423 63.042 59.547 19.6064 25.0000
6149 56194 b1-00147922 56194 1.847 0.0209905 1.15003 61.942 60.405 59.547 23.7301 25.0000
